Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
10.or,10or_G2,G2,3749MB,Phone,Qualcomm SDM636,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
10.or,E,E,2840-2846MB,Phone,Qualcomm MSM8937,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
10.or,G,G,2851-3582MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
10.or,D,10or_D,2868-2874MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3.0
3222222 Satelital,G706,G706,920MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,27,2.0
3Go,GT70053G,GT70053G,955MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,27,2.0
3Go,GT7007EQC,GT7007EQC,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
3Go,GT10K3IPS,GT10K3IPS,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
7mobile,Swegue 2,Swegue_2,1861MB,Phone,Mediatek MT6739CH,480x996,240,armeabi-v7a;armeabi,27,3.2
7mobile,Kamba 2,7mobile_Kamba_2,2884MB,Phone,Mediatek MT6739CH,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
9mobile,DM_T901,DM_T901,1938MB,Tablet,Spreadtrum SC7731E,800x1280,213,armeabi-v7a;armeabi,28,3.2
A1,A1 Smart N9,VFD720,1874MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Aamra WE,A50,A50,450MB,Phone,Spreadtrum SC7731E,480x854,240,armeabi-v7a;armeabi,27,3.2
Aamra WE,A10,A10,450MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi-v7a;armeabi,27,3.2
Accent,CAMELEON C5,CAMELEON_C5,925-932MB,Phone,Spreadtrum SC7731E,480x854;480x960,240,armeabi-v7a;armeabi,24;27,2.0;3.2
Accent,FAST7 3G,FAST7_3G,958MB,Tablet,Mediatek MT8321,720x1280,160,armeabi-v7a;armeabi,24,2.0
Accent,FAST73G,FAST73G,904MB,Phone,Spreadtrum SC7731E,600x1024,213,armeabi-v7a;armeabi,27,3.2
Accent,KIDZY70,KIDZY70,981MB,Tablet,Rockchip RK3126,600x1024,160,armeabi-v7a;armeabi,27,2.0
Accent,PEARL A4 Lite,PEARL_A4_Lite,903MB,Phone,Spreadtrum SC7731E,720x1440,320,armeabi-v7a;armeabi,27,3.2
Accent,PEARL A6,PEARL_A6,2897MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Accent,C5,C5,932MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,27,3.2
Accent,TANK_P55,TANK_P55,1871MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
ACE France,AS0218,AS0218,885MB,Phone,Spreadtrum SC9832E,720x1440,320,armeabi-v7a;armeabi,27,3.2
ACE France,AS0518,AS0518,1822MB,Phone,Mediatek MT6762,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
ACE France,URBAN 1,URBAN_1,1839MB,Phone,Mediatek MT6739WA,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
ACE France,BUZZ_1_Plus,BUZZ_1_Plus,885MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
ACE France,BUZZ_1_Lite,BUZZ_1_Lite,904MB,Phone,Spreadtrum SC7731C,480x960,240,armeabi-v7a;armeabi,27,3.2
ACE France,AS0618,AS0618,2826MB,Phone,Mediatek MT6752,720x1500,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Acegame S.A.,TitaniumHD,TitaniumHD,954MB,Tablet,Rockchip RK3326,1024x600,160,armeabi-v7a;armeabi,27,3.2
Acegame S.A.,NEONHD/NEONGo,NEON,954MB,Tablet,Rockchip RK3326,1024x600,160,armeabi-v7a;armeabi,27,3.2
Acegame S.A.,TitaniumColors,TitaniumColors,954MB,Tablet,Rockchip RK3326,600x1024,160,armeabi-v7a;armeabi,27,3.2
Acer,Acer Chromebook R13,elm_cheets,3936MB,PC,Mediatek MT8173,1920x1080,160,armeabi-v7a;armeabi,25;28,3.2
Acer,Iconia One 10,acer_Colnago,1966MB,Tablet,Mediatek MT8167B,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Acer,Iconia One 10,acer_jetfirelte,1925MB,Tablet,Mediatek MT8735,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,Iconia One 10,corona,970MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Acer,Chromebook 14 for work,lars_cheets,3846MB,PC,Intel 3855U,1366x768;768x1366,160,x86;armeabi-v7a;armeabi,25;28,3.1
Acer,Chromebook Tab 10,scarlet_cheets,3813MB,PC,Rockchip RK3399,1536x2048,240,armeabi-v7a;armeabi,25;28,3.2
Acer,Chromebook 15 CB515-1HT/1H,sand_cheets,3827MB,PC,Intel N3350,1080x1920;1920x1080,160,x86;armeabi-v7a;armeabi,25;28,3.1
Acer,Acer One 7 4G,Acer_One_7_4G,1933MB,Tablet,Mediatek MT6735,800x1280,213,armeabi-v7a;armeabi,27,3.1
Adart,S4090,S4090,945MB,Phone,Mediatek MT6580M,480x800,240,armeabi-v7a;armeabi,27,2.0
Advan digital,G2 Pro,ADVAN_G2_Pro,2823MB,Phone,Spreadtrum SC9863A,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,28,3.2
Advan digital,i6A,ADVAN_5501,1839MB,Phone,Mediatek MT6739WA,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
